username,rating,comment
10-Jun,5,Chưa sài nên chưa pit sp ntn tốt ủng hộ tiếp gói hàng cẩn thận ksjej
.*****4,5,"Sản phẩm đẹp , đúng hình , màu son đẹp , đáng tiền mua , thời gian giao hàng cực nhanh"
...2005,4,"Kinh nghiệm sử dụng:bền
Hiệu ứng làm đẹp:đẹp
Bao bì:như hình

Hhvghvggbbb"
..ngoctram__,5,"Màu son đẹp , giao hàng nhanh . Đóng gói sản phảm đẹp và chắc chắn . Điểm 10 cho chất lượng ❤️"
.beduyen_060200,4,công dụng son môi độ bền màu tốt màu đẹp mịn gói hàng đơn sơ quá giao hàng hơi lâu ạ
.laphuynh,4,bao bì đẹp lợi ích làm đẹp hiệu ứng làm đẹp tốt tầm 1 tuần nhận đc hàg mua 1 cây đc tặg 1 mặt nạ son lên môi lớp đầu mỏg và bóg sau vài giây sẽ khô đáh nhìu lớp k bị tróc mà càg mịn moi nha cũn có độ lì nói chug cũn oki nhưg so với bảg màu thì tes ở ngoài mình thấy hơi khác màu
.nthoa.,5,"Có mùi giống mùi nho, màu tươi...thấy son k quá lì
Đóng gói chắc chắn."
_*****_,5,"Màu đẹp màu quốc dân rồi. Hợp với mọi loại da nhen, cọ cũng xinh xeo"
_*****_,5,"son mịn
màu đẹp
giao nhanh
đóng gói cẩn thận
tui đánh giá để nhận 200 xu thui:3"
_*****_,5,"Giao hàng nhanh, chất son mịn mà mùi rất là thơm nữa. Sẽ ủng hộ shop dài ạ 🥰💕"
_*****_,5,"Độ bền màu:tốt
Công dụng:Trang điểm

Màu đẹp, độ bền tốt"
_*****_,5,"Công dụng:son mooi
Độ bền màu:có

[TB] Chúc mừng năm mới Quý Mão 2023! Người dân chủ động sắp xếp thời gian trở lại nơi làm việc và sinh sống tại các thành phố lớn, tránh tình trạng ùn tắc giao thông vào cuối dịp nghỉ lễ, tuyệt đối không điều khiển phương tiện khi đã sử dụng rượu, bia và các chất kích thích khác."
_*****_,5,Hình ảnh và video không liên quan chỉ mang tính chất nhận xu son đẹp
_*****_,5,"Công dụng:ổn
Độ bền màu:.

Bình luận chỉ mang tính chất nhận xu oydpuchlf7pxlhrupcj"
_*****_,4,"I've liked her for 3 years now but she doesn't even know I exist, even meeting each other is impossible."
_*****_,1,rất không hài lòng.
_*****_,4,độ bền màu 2 tiếng công dụng son bóng có dưỡng shop giao hàng nhanh son lên màu rất xinh có thể dùng đi học rất phù hợp mọi người có thể tham khảo nhé
_*****_,3,công dụng oánh son độ bền màu không bền lắm nếu có ăn uống nhiều gói hàng ổn màu thì cũng tạm tại màu lên môi tuỳ vào sắc tố môi mỗi ng ấy lần hai t mua hàng trước t mua 04 nó chất đẹp lắm ấy mà cũng khá bền cọ cũng ổn đã thế còn hơi ngọt ngọt🥹 mỗi tội lên môi t cam hơi nhìu nó oánh lên nổi lắm nên giờ mới mua 24 mà hơi thất vọng xí tại 24 cầm không chắc tay bằng 04 mùi kẹo dâu cũng ổn màu thì mlb trông tự nhiên không quá kén da lần nà 24 cọ thấy cứng với xấu quá😭 màu lên môi chất nó không thích bằng 04
_*****_,4,công dụng tô son độ bền màu bền nắp son lỏng lẻo trong ảnh video màu có ánh cam so vs màu thật màu ko có trầm như hình shop nhạt hơn rất nhiều màu tươi chùi để lại tint hồng
_*****_,4,lợi ích lam dep mẹo kh co bao bì dep màu không như mình tưởng tượng hơi thiên hồng lâu trôi lì nói chung là tạm ổn giao nhanh mọi người cân nhắc nhée
_*****_,4,màu đẹp nhưng chất son có hơi dính giao hàng nhanh bao bì đóng gói khá đẹp hình ảnh mang tính chất nhận xu
_*****1,5,"Son sài rất oke nha 🤗, son có mùi rất thơm, màu siêu đẹp lung ía, nên mua nhé😘"
_*****3,4,có chút mùi thơm nhẹ son đẹp và khá ok
_*****4,5,hộp xinh xĩu luon í đóng hàng kĩ lắm luon còn được tặng dầu gội nữa màu son chinn
_*****5,4,màu đẹp chất son mỏng đánh dày thì màu k đẹp chứ 1 lớp tj rất đẹp nhưng son rất dễ bung
_*****8,2,"Mùi hương:k thơm
Công dụng:dưỡng môi
Dành cho da:tất cả

Sp bị hư k sử dụng được  còn bị trầy xước nữa"
_*****8,4,độ bền màu không công dụng tô màu đẹp nhưng nhanh bay màu đầu lòng 2 ả tố nga thúy kiều là chị em là thúy vân
_*****i,5,"Hình ảnh chỉ mang tính minh hoạ, sản phẩm y hình, rất hài lòng n"
_*****j,4,độ bền màu tạm ổn công dụng sơn dùng hết 1 thỏi r thấy cũng ổn nên tìm mua độ lì khỏang 7 10 nếu ăn đồ k dầu mỡ
_*****n,3,độ bền màu lì lắm lắm lắm luôn công dụng tô vô cái mỏ màu bên ngoài có ánh hồng hồng á khá là khó đánh son bóng nên cứ đánh lâu lâu là môi khô bong tróc do môi mn mua chơi chơi về xem màu thoi nha
_*****u,5,Son đẹp mùi thơm hàng chuẩn 
_*****v,1,chán:)) nghe nhiều ng khen lắm mua thử ai ngờ vừa xấu còn k lì
_*****w,4,hiệu ứng làm đẹp tạo màu mẹo quét vào môi lợi ích lâu trôi phần vỏ son hơi xước son thơm màu sắc đẹp màu lên ko đẹp lắm rẻ phù hợp giá tiền bà ơi bà cháu iu bà lắm tóc bà trắng bà trắng như mây cháu iu bà cháu lắm bàn tay
