User_name,Category,Comments,Comments_extra,Comments_merge,Comments_Cleaned,predicted_sentiment
Do Thi Thuyet,Màu : A05 - cam đỏ,,Bình thường,Bình thường,bình thường,Negative
Ly Phạm,Màu : A06 - đỏ nâu,,Hài lòng,Hài lòng,hài lòng,Positive
Tuyền Mèo,Màu : A11 - hồng cháy,,Bình thường,Bình thường,bình thường,Negative
Bắp Bắp,Màu : A12 - nâu gạch,,Hài lòng,Hài lòng,hài lòng,Positive
Dương Lê,Màu : A10 - đỏ berry,,Rất không hài lòng,Rất không hài lòng,rất không hài lòng,Negative
Thanh Tâm,Màu : A11 - hồng cháy,,Hài lòng,Hài lòng,hài lòng,Positive
Võ Thị Ngọc Giàu,Màu : A08 - cam bưởi đỏ,,Hài lòng,Hài lòng,hài lòng,Positive
Minh Ngn,Màu : A12 - nâu gạch,,Hài lòng,Hài lòng,hài lòng,Positive
Thanh Dinh,Màu : A01- đỏ dâu,,Hài lòng,Hài lòng,hài lòng,Positive
Long Te,Màu : A12 - nâu gạch,,Hài lòng,Hài lòng,hài lòng,Positive
Ngọc Phạm,Màu : A06 - đỏ nâu,,Hài lòng,Hài lòng,hài lòng,Positive
Nguyễn Hữu Lộc,Màu : A12 - nâu gạch,,Rất không hài lòng,Rất không hài lòng,rất không hài lòng,Negative
Tần Bi,Màu : A05 - cam đỏ,,Rất không hài lòng,Rất không hài lòng,rất không hài lòng,Negative
Nguyễn Thị Loàn,Màu : A19 - đỏ hồng tomato,,Bình thường,Bình thường,bình thường,Negative
Ngô An,Màu : A08 - cam bưởi đỏ,,Hài lòng,Hài lòng,hài lòng,Positive
Do Minh Ngoc,Màu : A12 - nâu gạch,,Hài lòng,Hài lòng,hài lòng,Positive
Cỏ Voi,Màu : A05 - cam đỏ,,Hài lòng,Hài lòng,hài lòng,Positive
Thùy Duyên,Màu : A08 - cam bưởi đỏ,,Hài lòng,Hài lòng,hài lòng,Positive
Nguyễn Kim Hồng,Màu : A08 - cam bưởi đỏ,,Hài lòng,Hài lòng,hài lòng,Positive
Nguyễn Khánh Chi,Màu : A02 - hoa hồng khô,,Hài lòng,Hài lòng,hài lòng,Positive
Le Quoc Thanh,Màu : A15 - nâu ánh đỏ,,Bình thường,Bình thường,bình thường,Negative
Thuy Trang,Màu : A05 - cam đỏ,,Hài lòng,Hài lòng,hài lòng,Positive
Tống Thị Kim Gấm,Màu : A08 - cam bưởi đỏ,,Bình thường,Bình thường,bình thường,Negative
Nguyễn Thị Kim Tình,Màu : A05 - cam đỏ,,Hài lòng,Hài lòng,hài lòng,Positive
Quang Minh,Màu : A21 - đỏ nâu ánh khói,,Hài lòng,Hài lòng,hài lòng,Positive
Đào Mai,Màu : A06 - đỏ nâu,,Hài lòng,Hài lòng,hài lòng,Positive
Nguyễn Thủy Hồng,Màu : A08 - cam bưởi đỏ,,Hài lòng,Hài lòng,hài lòng,Positive
Alyta Thảo,Màu : A19 - đỏ hồng tomato,,Bình thường,Bình thường,bình thường,Negative
Huỳnh Tuyền,Màu : A14 - đỏ đào trầm,,Hài lòng,Hài lòng,hài lòng,Positive
Ngọc Hân,Màu : A20 - đỏ tím cherry,,Hài lòng,Hài lòng,hài lòng,Positive
Oanh Kieu,Màu : A09 - hồng quế,,Hài lòng,Hài lòng,hài lòng,Positive
H Gương Long,Màu : A21 - đỏ nâu ánh khói,son nhanh trôi,Bình thường,son nhanh trôi,son nhanh trôi,Negative
Trần Thị Hoàng Trang,Màu : A02 - hoa hồng khô,,Hài lòng,Hài lòng,hài lòng,Positive
Le Ton Nu Yen Phung,Màu : A01- đỏ dâu,.........ok đẹp,Hài lòng,.........ok đẹp,ok đẹp,Positive
Nguyễn Mỹ Ngọc,Màu : A08 - cam bưởi đỏ,,Hài lòng,Hài lòng,hài lòng,Positive
Trang Le,Màu : A10 - đỏ berry,,Hài lòng,Hài lòng,hài lòng,Positive
Thúy Bùi,Màu : A06 - đỏ nâu,,Bình thường,Bình thường,bình thường,Negative
Vương Vương Lê,Màu : A01- đỏ dâu,,Bình thường,Bình thường,bình thường,Negative
Cao Minh Thư,Màu : A15 - nâu ánh đỏ,ok,Hài lòng,ok,ok,Positive
Le Thu Phuong,Màu : A12 - nâu gạch,,Bình thường,Bình thường,bình thường,Negative
Phạm Đường Ngọc Dương,Màu : A05 - cam đỏ,,Hài lòng,Hài lòng,hài lòng,Positive
Nguyễn Văn Hào,Màu : A06 - đỏ nâu,,Hài lòng,Hài lòng,hài lòng,Positive
Lý Hoàng Gia Mẫn,Màu : A06 - đỏ nâu,,Hài lòng,Hài lòng,hài lòng,Positive
Thái Thị Diễm Quỳnh,Màu : A10 - đỏ berry,,Hài lòng,Hài lòng,hài lòng,Positive
Muội Hung Hăng,Màu : A12 - nâu gạch,tạm,Bình thường,tạm,tạm,Negative
Xuân Dương,Màu : A12 - nâu gạch,,Bình thường,Bình thường,bình thường,Negative
Minh Trí,Màu : A02 - hoa hồng khô,,Hài lòng,Hài lòng,hài lòng,Positive
Quinn Mine,Màu : A12 - nâu gạch,,Bình thường,Bình thường,bình thường,Negative
Minh Thư,Màu : A20 - đỏ tím cherry,,Hài lòng,Hài lòng,hài lòng,Positive
Trịnh Minh Hòa,Màu : A11 - hồng cháy,,Hài lòng,Hài lòng,hài lòng,Positive
H Bng,Màu : A04 - đỏ thẫm,thơm mịn k chuẩn màu cho lắm,Hài lòng,thơm mịn k chuẩn màu cho lắm,thơm mịn không chuẩn màu cho lắm,Positive
Phan Ngô Minh Nhật,Màu : A01- đỏ dâu,,Bình thường,Bình thường,bình thường,Negative
Lê Nhi,Màu : A08 - cam bưởi đỏ,,Hài lòng,Hài lòng,hài lòng,Positive
Như Ý Trần,Màu : A10 - đỏ berry,,Hài lòng,Hài lòng,hài lòng,Positive
Nguyễn Văn Phú,Màu : A05 - cam đỏ,,Hài lòng,Hài lòng,hài lòng,Positive
Nguyễn Thị Thùy Linh,Màu : A05 - cam đỏ,,Hài lòng,Hài lòng,hài lòng,Positive
Thủyy Chinhh,Màu : A09 - hồng quế,"Son dùng khô môi, bong da môi",Rất không hài lòng,"Son dùng khô môi, bong da môi",son dùng khô môi bong da môi,Positive
Nguyễn Hải Yến,Màu : A08 - cam bưởi đỏ,,Hài lòng,Hài lòng,hài lòng,Positive
Nguyễn Thu Trang,Màu : A02 - hoa hồng khô,,Hài lòng,Hài lòng,hài lòng,Positive
